Bet ID	Unnamed: 1	Bet	Unnamed: 3	Hand	Pool	Pot	Bluff	Agro	Payout (exc)	Outcome	Round	Win Probability
66		40		[(11, 'H'), (12, 'D')]	[(13, 'C'), (11, 'C'), (2, 'C')]	60	0.1	0.1	0.7	1	1	0.69
67		20		[(11, 'H'), (12, 'D')]	[(13, 'C'), (11, 'C'), (2, 'C'), (8, 'S')]	100	0.2	0.3	0.2	1	2	0.5
68		20		[(12, 'H'), (14, 'C')]	[(13, 'C'), (11, 'C'), (2, 'C'), (8, 'S')]	120	0.3	0.1	0.2	0	2	0.77
69		15		[(11, 'H'), (12, 'D')]	[(13, 'C'), (11, 'C'), (2, 'C'), (8, 'S'), (5, 'H')]	140	0.0	0.0	0.1	1	3	0.27
70		10		[(12, 'H'), (14, 'C')]	[(13, 'C'), (11, 'C'), (2, 'C'), (8, 'S'), (5, 'H')]	150	0.0	0.0	0.1	0	3	0.61
71		20		[(6, 'S'), (10, 'S')]	[(4, 'H'), (4, 'D'), (10, 'C')]	20	0.0	0.2	1.0	1	1	0.51
72		10		[(2, 'C'), (11, 'D')]	[(4, 'H'), (4, 'D'), (10, 'C')]	40	0.1	0.1	0.3	0	1	0.97
73		20		[(14, 'S'), (12, 'D')]	[(13, 'H'), (9, 'H'), (5, 'D')]	20	0.4	0.3	1.0	1	1	0.77
74		20		[(11, 'S'), (5, 'C')]	[(13, 'H'), (9, 'H'), (5, 'D')]	40	0.2	0.2	0.5	0	1	0.75
75		30		[(14, 'S'), (12, 'D')]	[(13, 'H'), (9, 'H'), (5, 'D'), (13, 'S')]	60	0.5	0.3	0.5	1	2	0.61
76		15		[(11, 'S'), (5, 'C')]	[(13, 'H'), (9, 'H'), (5, 'D'), (13, 'S')]	90	0.0	0.0	0.2	0	2	0.27
77		80		[(11, 'C'), (10, 'C')]	[(14, 'C'), (13, 'C'), (12, 'C'), (5, 'H')]	200	0.0	0.4	0.4	1	2	0.0
78		220		[(11, 'C'), (10, 'C')]	[(14, 'C'), (13, 'C'), (12, 'C'), (5, 'H'), (6, 'H')]	360	0.0	0.8	0.6	1	3	0.0
